plot_country,data_country
Afghanistan, Afghanistan 
Albania, Albania 
Algeria, Algeria 
Angola,NO CASES
Antarctica,NO CASES
Argentina, Argentina 
Armenia, Armenia 
Australia, Australia 
Austria, Austria 
Azerbaijan, Azerbaijan 
Bahamas,NO CASES
Bangladesh, Bangladesh 
Belarus, Belarus 
Belgium, Belgium 
Belize,NO CASES
Benin,NO CASES
Bhutan,NO CASES
Bolivia,NO CASES
Bosnia and Herz., Bosnia and Herzegovina 
Botswana,NO CASES
Brazil, Brazil 
Brunei, Brunei 
Bulgaria, Bulgaria 
Burkina Faso,NO CASES
Burundi,NO CASES
Cambodia, Cambodia 
Cameroon, Cameroon 
Canada, Canada 
Central African Rep.,NO CASES
Chad,NO CASES
Chile, Chile 
China, China 
Colombia, Colombia 
Congo,NO CASES
Costa Rica, Costa Rica 
C?te d'Ivoire,NO CASES
Croatia, Croatia 
Cuba,NO CASES
Cyprus, Cyprus 
Czechia, Czechia 
Dem. Rep. Congo,NO CASES
Denmark, Denmark 
Djibouti,NO CASES
Dominican Rep., Dominican Republic 
Ecuador, Ecuador 
Egypt, Egypt 
El Salvador,NO CASES
Eq. Guinea,NO CASES
Eritrea,NO CASES
Estonia, Estonia 
Ethiopia,NO CASES
Falkland Is.,NO CASES
Fiji,NO CASES
Finland, Finland 
Fr. S. Antarctic Lands,NO CASES
France, France 
Gabon,NO CASES
Gambia,NO CASES
Georgia, Georgia 
Germany, Germany 
Ghana,NO CASES
Greece, Greece 
Greenland,NO CASES
Guatemala,NO CASES
Guinea,NO CASES
Guinea-Bissau,NO CASES
Guyana,NO CASES
Haiti,NO CASES
Honduras,NO CASES
Hungary, Hungary 
Iceland, Iceland 
India, India 
Indonesia, Indonesia 
Iran, Iran 
Iraq, Iraq 
Ireland, Ireland 
Israel, Israel 
Italy, Italy 
Jamaica,NO CASES
Japan, Japan 
Jordan, Jordan 
Kazakhstan,NO CASES
Kenya,NO CASES
Kosovo,NO CASES
Kuwait, Kuwait 
Kyrgyzstan,NO CASES
Laos,NO CASES
Latvia, Latvia 
Lebanon, Lebanon 
Lesotho,NO CASES
Liberia,NO CASES
Libya,NO CASES
Lithuania, Lithuania 
Luxembourg, Luxembourg 
Macedonia,NO CASES
Madagascar,NO CASES
Malawi,NO CASES
Malaysia, Malaysia 
Mali,NO CASES
Mauritania,NO CASES
Mexico, Mexico 
Moldova, Moldova 
Mongolia,NO CASES
Montenegro,NO CASES
Morocco, Morocco 
Mozambique,NO CASES
Myanmar,NO CASES
N. Cyprus,NO CASES
Namibia,NO CASES
Nepal, Nepal 
Netherlands, Netherlands 
New Caledonia,NO CASES
New Zealand, New Zealand 
Nicaragua,NO CASES
Niger,NO CASES
Nigeria, Nigeria 
North Korea,NO CASES
Norway, Norway 
Oman, Oman 
Pakistan, Pakistan 
Palestine, Palestine 
Panama, Panama 
Papua New Guinea,NO CASES
Paraguay, Paraguay 
Peru, Peru 
Philippines, Philippines 
Poland, Poland 
Portugal, Portugal 
Puerto Rico,NO CASES
Qatar, Qatar 
Romania, Romania 
Russia, Russia 
Rwanda,NO CASES
S. Sudan,NO CASES
Saudi Arabia, Saudi Arabia 
Senegal, Senegal 
Serbia, Serbia 
Sierra Leone,NO CASES
Slovakia, Slovakia 
Slovenia, Slovenia 
Solomon Is.,NO CASES
Somalia,NO CASES
Somaliland,NO CASES
South Africa, South Africa 
South Korea, S. Korea 
Spain, Spain 
Sri Lanka, Sri Lanka 
Sudan,NO CASES
Suriname,NO CASES
Sweden,NO CASES
Switzerland, Switzerland 
Syria,NO CASES
Taiwan, Taiwan 
Tajikistan,NO CASES
Tanzania,NO CASES
Thailand, Thailand 
Timor-Leste,NO CASES
Togo, Togo 
Trinidad and Tobago,NO CASES
Tunisia, Tunisia 
Turkey,NO CASES
Turkmenistan,NO CASES
Uganda,NO CASES
Ukraine, Ukraine 
United Arab Emirates, UAE 
United Kingdom, UK 
United States of America, USA 
Uruguay,NO CASES
Uzbekistan,NO CASES
Vanuatu,NO CASES
Venezuela,NO CASES
Vietnam, Vietnam 
W. Sahara,NO CASES
Yemen,NO CASES
Zambia,NO CASES
Zimbabwe,NO CASES
eSwatini,NO CASES